epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,187.954,0.85336,0.70668,1.13048,0.7735,0.51087,0.51751,0.18577,2.39507,2.17056,2.83042,0.000525179,0.000525179,0.000525179
43,194.171,0.90912,0.75114,1.18333,0.72457,0.5363,0.50811,0.18513,2.49253,2.09714,2.84535,0.0005075,0.0005075,0.0005075
44,199.555,0.84221,0.65829,1.11052,0.59792,0.37587,0.45226,0.20546,2.233,2.16879,2.53922,0.000489821,0.000489821,0.000489821
45,206.85,0.81994,0.69515,1.12459,0.8836,0.38546,0.45524,0.21499,2.29901,2.31128,2.69987,0.000472143,0.000472143,0.000472143
46,212.617,0.82514,0.6597,1.11087,0.90584,0.38717,0.44813,0.21594,2.43074,2.26891,2.88091,0.000454464,0.000454464,0.000454464
47,218.139,0.76167,0.63241,1.08219,0.6549,0.4875,0.40533,0.19954,2.38772,2.15822,2.93252,0.000436786,0.000436786,0.000436786
48,225.8,0.89374,0.74856,1.20766,0.88619,0.33376,0.43952,0.20986,2.50732,2.54649,3.03367,0.000419107,0.000419107,0.000419107
49,231.021,0.77938,0.59931,1.15429,0.36941,0.44391,0.42917,0.19562,2.41463,2.5115,2.85066,0.000401429,0.000401429,0.000401429
50,236.978,0.78705,0.63045,1.07771,0.89999,0.3375,0.40979,0.17984,2.49594,2.42301,2.9922,0.00038375,0.00038375,0.00038375
51,242.979,0.75543,0.602,1.08574,0.87376,0.3846,0.45597,0.19678,2.49022,2.2447,2.98747,0.000366071,0.000366071,0.000366071
52,248.672,0.72364,0.59824,1.07708,0.83743,0.38613,0.45042,0.16965,2.53822,2.48535,2.92798,0.000348393,0.000348393,0.000348393
53,254.551,0.69262,0.56884,1.04942,0.81756,0.3875,0.42958,0.16498,2.50797,2.42728,3.05996,0.000330714,0.000330714,0.000330714
54,259.788,0.69633,0.56762,1.03398,0.84218,0.47786,0.47304,0.17098,2.46852,2.38135,2.89668,0.000313036,0.000313036,0.000313036
55,265.146,0.66642,0.51657,1.0426,0.73825,0.3875,0.45503,0.16985,2.47356,2.47877,2.85777,0.000295357,0.000295357,0.000295357
56,270.43,0.73211,0.59688,1.06128,0.71856,0.4875,0.45577,0.16112,2.50333,2.35449,2.90841,0.000277679,0.000277679,0.000277679
57,275.937,0.7034,0.56786,1.07563,0.41984,0.4875,0.43253,0.1615,2.4455,2.0983,2.95377,0.00026,0.00026,0.00026
58,282.244,0.67614,0.58701,1.02084,0.63291,0.4875,0.3839,0.172,2.40486,2.05289,2.94423,0.000242321,0.000242321,0.000242321
59,287.567,0.62093,0.51975,1.00858,0.68748,0.4875,0.40109,0.18457,2.32913,2.04623,2.86965,0.000224643,0.000224643,0.000224643
60,292.821,0.67604,0.546,1.04597,0.86545,0.4965,0.52979,0.20173,2.41345,2.0215,2.99845,0.000206964,0.000206964,0.000206964
61,366.815,0.52106,0.41661,1.02,0.89773,0.49584,0.54557,0.20471,2.45948,2.16635,3.04044,0.000189286,0.000189286,0.000189286
62,377.068,0.46331,0.42062,0.94268,0.8863,0.45,0.45763,0.19644,2.40373,2.23028,3.03835,0.000171607,0.000171607,0.000171607
63,390.607,0.44912,0.33809,0.92817,0.7206,0.55,0.47454,0.19651,2.4167,2.20018,3.09086,0.000153929,0.000153929,0.000153929
64,396.926,0.41702,0.33208,0.95086,0.50703,0.53958,0.48805,0.18888,2.52853,2.0556,3.26859,0.00013625,0.00013625,0.00013625
65,402.872,0.48783,0.38331,0.97639,0.4957,0.54235,0.49248,0.20088,2.51089,2.12735,3.24532,0.000118571,0.000118571,0.000118571
66,408.958,0.44595,0.35126,0.92998,0.47476,0.54805,0.49556,0.19755,2.46474,2.12383,3.20152,0.000100893,0.000100893,0.000100893
67,414.354,0.42366,0.341,0.94199,0.48219,0.54364,0.50141,0.19771,2.4522,2.24322,3.16666,8.32143e-05,8.32143e-05,8.32143e-05
68,420.164,0.43396,0.32291,0.95187,0.42795,0.48087,0.43974,0.19526,2.48335,2.30048,3.20374,6.55357e-05,6.55357e-05,6.55357e-05
69,425.894,0.41841,0.32423,0.92909,0.68287,0.4875,0.44069,0.18965,2.46659,2.28003,3.19746,4.78571e-05,4.78571e-05,4.78571e-05
70,430.938,0.41161,0.35274,0.91033,0.68042,0.48493,0.4404,0.19531,2.46758,2.22879,3.21052,3.01786e-05,3.01786e-05,3.01786e-05
