epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,118.138,0.96281,0.92151,1.17449,0.32619,0.46235,0.405,0.1253,2.74783,2.5878,2.76561,0.000373312,0.000373312,0.000373312
43,120.273,1.02258,0.93007,1.24614,0.42123,0.4,0.41342,0.14178,2.68468,2.40608,2.7367,0.000352037,0.000352037,0.000352037
44,122.415,0.94131,0.83866,1.14671,0.42929,0.45,0.45342,0.18121,2.42582,2.42329,2.42991,0.000331069,0.000331069,0.000331069
45,124.595,0.94657,0.89432,1.16716,0.39299,0.49256,0.43047,0.18565,2.33134,2.40799,2.27796,0.000310453,0.000310453,0.000310453
46,126.783,0.93604,0.84149,1.13999,0.43307,0.45,0.42254,0.15427,2.39319,2.42716,2.3418,0.000290228,0.000290228,0.000290228
47,128.91,0.90208,0.82034,1.13678,0.45295,0.45,0.43601,0.14539,2.42355,2.4434,2.4223,0.000270435,0.000270435,0.000270435
48,131.097,0.99882,0.89652,1.24851,0.48684,0.44842,0.45656,0.14977,2.4527,2.39805,2.46277,0.000251115,0.000251115,0.000251115
49,133.627,0.88333,0.77147,1.15113,0.44239,0.60152,0.45541,0.14363,2.52512,2.51822,2.57883,0.000232306,0.000232306,0.000232306
50,135.848,0.91544,0.81494,1.12755,0.47173,0.56798,0.47627,0.14562,2.48786,2.46815,2.51271,0.000214046,0.000214046,0.000214046
51,138.004,0.86516,0.79404,1.12703,0.47108,0.59213,0.49506,0.15022,2.48001,2.27863,2.51133,0.000196373,0.000196373,0.000196373
52,140.176,0.86489,0.77806,1.12254,0.46351,0.55955,0.48987,0.1575,2.47266,2.26768,2.56632,0.00017932,0.00017932,0.00017932
53,142.364,0.86198,0.75627,1.12469,0.43722,0.5453,0.46671,0.15494,2.4636,2.24126,2.57862,0.000162924,0.000162924,0.000162924
54,144.527,0.80225,0.76052,1.08307,0.41172,0.49365,0.45843,0.16816,2.46113,2.3078,2.55834,0.000147217,0.000147217,0.000147217
55,146.668,0.80782,0.73573,1.10196,0.3075,0.44622,0.39866,0.1448,2.46287,2.40965,2.56671,0.00013223,0.00013223,0.00013223
56,148.823,0.86577,0.76347,1.12654,0.41369,0.45,0.42795,0.13957,2.50584,2.44902,2.61596,0.000117993,0.000117993,0.000117993
57,151.019,0.83665,0.79186,1.13951,0.45497,0.45384,0.45763,0.15388,2.53054,2.40711,2.63995,0.000104537,0.000104537,0.000104537
58,153.156,0.83674,0.76744,1.10127,0.4726,0.45,0.4614,0.14959,2.53134,2.43849,2.69518,9.18862e-05,9.18862e-05,9.18862e-05
59,155.279,0.77889,0.72067,1.07193,0.47757,0.45,0.45496,0.13906,2.58011,2.42425,2.76551,8.00678e-05,8.00678e-05,8.00678e-05
60,157.77,0.81879,0.73697,1.11262,0.47025,0.45,0.44551,0.13268,2.58882,2.43808,2.77383,6.91052e-05,6.91052e-05,6.91052e-05
61,193.632,0.65365,0.60097,1.04405,0.43069,0.49667,0.45536,0.15192,2.58323,2.44016,2.74416,5.90204e-05,5.90204e-05,5.90204e-05
62,195.836,0.67033,0.59269,1.04846,0.41747,0.5346,0.45892,0.15294,2.60495,2.51336,2.72343,4.98338e-05,4.98338e-05,4.98338e-05
63,197.98,0.60742,0.52674,0.99192,0.41545,0.5325,0.44832,0.1656,2.60489,2.52853,2.71118,4.15637e-05,4.15637e-05,4.15637e-05
64,200.266,0.58728,0.5243,1.01435,0.41597,0.53318,0.44624,0.15672,2.58294,2.54096,2.63935,3.4227e-05,3.4227e-05,3.4227e-05
65,202.472,0.6501,0.58531,1.06573,0.41411,0.52836,0.4459,0.16242,2.5621,2.50714,2.61353,2.78384e-05,2.78384e-05,2.78384e-05
66,204.712,0.59266,0.54589,1.00967,0.43135,0.5,0.4494,0.15571,2.5393,2.42636,2.61068,2.24107e-05,2.24107e-05,2.24107e-05
67,206.87,0.60134,0.54537,1.0062,0.41074,0.5,0.44747,0.16411,2.52048,2.38208,2.60751,1.79549e-05,1.79549e-05,1.79549e-05
68,209.072,0.60631,0.51819,1.00921,0.42732,0.5,0.45297,0.15524,2.54586,2.39366,2.65764,1.44799e-05,1.44799e-05,1.44799e-05
69,211.231,0.67125,0.56448,1.0571,0.42924,0.5,0.45833,0.15676,2.5337,2.37472,2.6601,1.19927e-05,1.19927e-05,1.19927e-05
70,213.35,0.60262,0.5834,1.00395,0.4283,0.5,0.45765,0.15615,2.55662,2.36085,2.68803,1.04984e-05,1.04984e-05,1.04984e-05
