epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,77.0046,0.7983,1.38151,0.99689,0.9835,0.96231,0.98591,0.82465,0.60434,1.15966,0.93338,0.000742625,0.000742625,0.000742625
43,78.9875,0.85963,1.51663,1.07525,0.9835,0.96231,0.98591,0.82465,0.60434,1.15966,0.93338,0.00073025,0.00073025,0.00073025
44,80.8217,0.73798,1.30422,0.97488,0.96281,0.99435,0.995,0.838,0.59162,1.10197,0.93064,0.000717875,0.000717875,0.000717875
45,83.1488,0.78818,1.4542,0.98078,0.99149,0.97273,0.99273,0.83325,0.57734,1.12573,0.91836,0.0007055,0.0007055,0.0007055
46,84.8493,0.73181,1.14697,0.98786,0.98351,0.975,0.98923,0.86353,0.55433,1.14083,0.91019,0.000693125,0.000693125,0.000693125
47,86.6761,0.7729,1.16551,0.9745,0.98351,0.975,0.98923,0.86353,0.55433,1.14083,0.91019,0.00068075,0.00068075,0.00068075
48,88.366,0.70464,1.21793,0.98687,0.99504,0.97462,0.99273,0.86893,0.52665,1.13799,0.89653,0.000668375,0.000668375,0.000668375
49,90.0195,0.70343,1.12084,0.92486,0.96607,0.97647,0.995,0.87477,0.53158,1.09697,0.89817,0.000656,0.000656,0.000656
50,91.8719,0.73683,1.1986,1.01728,0.97646,0.98511,0.995,0.86943,0.52556,1.05996,0.90529,0.000643625,0.000643625,0.000643625
51,93.5219,0.70083,1.08059,0.95334,0.97646,0.98511,0.995,0.86943,0.52556,1.05996,0.90529,0.00063125,0.00063125,0.00063125
52,95.4641,0.81984,1.18517,1.02808,0.98986,1,0.995,0.87156,0.52459,1.07908,0.90588,0.000618875,0.000618875,0.000618875
53,98.5164,0.849,1.2083,1.08002,0.99276,1,0.995,0.86854,0.51747,1.04013,0.8948,0.0006065,0.0006065,0.0006065
