epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,92.9595,1.02895,1.04282,1.20281,0.40379,0.4,0.448,0.19097,2.25379,2.69053,2.37866,0.000742625,0.000742625,0.000742625
43,95.1855,1.08913,1.10975,1.26594,0.63185,0.4,0.50634,0.19019,2.27399,2.267,2.63883,0.00073025,0.00073025,0.00073025
44,97.4585,1.05822,1.04134,1.20954,0.9077,0.4,0.49465,0.20251,2.28741,2.64884,2.68024,0.000717875,0.000717875,0.000717875
45,99.6164,0.97322,1.02691,1.18586,0.9591,0.4395,0.51373,0.20246,2.60648,2.57767,2.81604,0.0007055,0.0007055,0.0007055
46,101.766,0.91481,0.94513,1.1488,0.69201,0.45,0.47381,0.18157,2.59209,2.30432,2.9684,0.000693125,0.000693125,0.000693125
47,103.889,1.01549,1.06518,1.22544,0.44209,0.45,0.46001,0.17337,2.55253,3.2811,2.63556,0.00068075,0.00068075,0.00068075
48,106.061,0.98254,1.05556,1.19223,0.35853,0.5,0.485,0.17723,2.61955,2.7885,2.72872,0.000668375,0.000668375,0.000668375
49,108.239,0.99203,1.05623,1.20528,0.69056,0.5,0.48307,0.19405,2.8301,1.75809,3.23159,0.000656,0.000656,0.000656
50,110.506,0.94511,0.97329,1.18926,0.39133,0.38105,0.36398,0.152,2.69397,2.23396,2.95406,0.000643625,0.000643625,0.000643625
51,115.193,0.92619,0.94177,1.17423,0.38956,0.48852,0.46783,0.16676,2.8241,2.27236,3.23498,0.00063125,0.00063125,0.00063125
52,120.448,0.9466,0.98596,1.17289,0.34806,0.45,0.4172,0.15273,2.84655,2.10188,3.42713,0.000618875,0.000618875,0.000618875
53,124.528,0.96692,0.96772,1.19053,0.65831,0.35,0.39914,0.18617,2.75227,2.36439,3.25344,0.0006065,0.0006065,0.0006065
54,131.123,0.91429,0.94824,1.15707,0.2958,0.35,0.40775,0.17166,2.82067,2.46459,3.21346,0.000594125,0.000594125,0.000594125
55,135.219,0.95983,0.93423,1.20562,0.35735,0.55,0.41502,0.13961,2.55583,2.21883,3.02458,0.00058175,0.00058175,0.00058175
56,139.239,0.91494,0.9846,1.175,0.61138,0.57701,0.5712,0.17013,2.30745,2.70233,2.66678,0.000569375,0.000569375,0.000569375
57,143.751,0.91838,0.89664,1.14372,0.85387,0.45,0.52597,0.19347,2.48448,1.7597,3.05087,0.000557,0.000557,0.000557
58,147.964,0.93495,0.89542,1.15923,0.63153,0.48827,0.55357,0.21392,2.37419,1.69977,2.72563,0.000544625,0.000544625,0.000544625
59,152.391,0.92833,0.90462,1.16619,0.8388,0.48799,0.5713,0.21995,2.33502,1.97888,2.60368,0.00053225,0.00053225,0.00053225
60,158.035,0.8419,0.801,1.10156,0.46684,0.4625,0.52398,0.1795,2.60663,2.32545,2.73253,0.000519875,0.000519875,0.000519875
61,162.419,0.88705,0.94696,1.16456,0.62086,0.54665,0.54363,0.19441,2.42668,2.47627,2.54846,0.0005075,0.0005075,0.0005075
62,166.199,0.82236,0.82687,1.10299,0.56858,0.49185,0.57567,0.18712,2.60192,2.3801,2.85573,0.000495125,0.000495125,0.000495125
63,170.35,0.83197,0.8587,1.12094,0.40653,0.5,0.54553,0.19102,2.53638,2.45789,2.75935,0.00048275,0.00048275,0.00048275
64,175.652,0.80604,0.79613,1.08714,0.48603,0.4457,0.53875,0.20174,2.34606,2.78073,2.52158,0.000470375,0.000470375,0.000470375
65,179.455,0.8442,0.86616,1.11424,0.41614,0.45,0.4981,0.21113,2.37755,2.33116,2.57284,0.000458,0.000458,0.000458
66,183.409,0.76438,0.79887,1.08063,0.40146,0.45,0.4749,0.18741,2.6243,2.31775,2.99703,0.000445625,0.000445625,0.000445625
67,188.734,0.78195,0.73068,1.08139,0.45806,0.43316,0.51669,0.18686,2.80605,2.51757,3.12396,0.00043325,0.00043325,0.00043325
68,192.608,0.8199,0.80043,1.10046,0.66193,0.42811,0.55413,0.18271,3.05859,2.04538,3.65329,0.000420875,0.000420875,0.000420875
69,197.448,0.74919,0.77702,1.06424,0.4025,0.5125,0.44185,0.14812,3.11749,1.75333,3.65517,0.0004085,0.0004085,0.0004085
70,202.731,0.75202,0.75698,1.06096,0.60915,0.51244,0.53135,0.17419,3.07931,2.02596,3.74607,0.000396125,0.000396125,0.000396125
