epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,238.919,1.63831,1.64439,1.60361,0.42015,0.45,0.41871,0.13022,2.8261,2.54704,2.64798,0.000525179,0.000525179,0.000525179
43,241.282,1.65502,1.59129,1.60219,0.59341,0.6046,0.59277,0.16339,2.70221,2.30407,2.59637,0.0005075,0.0005075,0.0005075
44,243.597,1.67647,1.56992,1.55872,0.5806,0.5125,0.54577,0.16454,2.56017,2.36754,2.51116,0.000489821,0.000489821,0.000489821
45,245.852,1.64024,1.56385,1.58498,0.4251,0.5625,0.51143,0.18941,2.44107,2.30275,2.42408,0.000472143,0.000472143,0.000472143
46,248.288,1.69539,1.64781,1.67002,0.45652,0.54922,0.54985,0.18072,2.48963,2.73428,2.4974,0.000454464,0.000454464,0.000454464
47,250.663,1.59801,1.49399,1.54846,0.5435,0.45,0.47894,0.15332,2.61498,2.53847,2.56922,0.000436786,0.000436786,0.000436786
48,253.001,1.53837,1.41116,1.50057,0.46909,0.55,0.49624,0.16406,2.59376,2.54565,2.6159,0.000419107,0.000419107,0.000419107
49,255.279,1.56592,1.44917,1.53197,0.46511,0.44653,0.40268,0.17141,2.49537,2.50665,2.52171,0.000401429,0.000401429,0.000401429
50,257.601,1.63757,1.55215,1.55103,0.60646,0.52875,0.57203,0.18603,2.5242,2.53134,2.47167,0.00038375,0.00038375,0.00038375
51,259.897,1.62228,1.51741,1.61523,0.49427,0.53633,0.49796,0.14749,2.57948,2.56433,2.5048,0.000366071,0.000366071,0.000366071
52,262.305,1.5187,1.33644,1.48696,0.33572,0.45,0.439,0.14188,2.47285,2.69266,2.40044,0.000348393,0.000348393,0.000348393
53,264.881,1.56861,1.44442,1.48369,0.44008,0.52902,0.46083,0.14291,2.42016,2.69151,2.34973,0.000330714,0.000330714,0.000330714
54,267.255,1.56063,1.4353,1.54616,0.43784,0.44776,0.40607,0.1586,2.45716,2.57208,2.37843,0.000313036,0.000313036,0.000313036
55,269.581,1.48437,1.43294,1.48948,0.5342,0.4,0.47224,0.14814,2.47644,2.50877,2.36745,0.000295357,0.000295357,0.000295357
56,272.006,1.55155,1.41094,1.50361,0.40562,0.48204,0.44132,0.12754,2.57924,2.73167,2.49759,0.000277679,0.000277679,0.000277679
57,275.09,1.51389,1.43281,1.48768,0.30794,0.4375,0.35917,0.11574,2.62008,2.62987,2.57178,0.00026,0.00026,0.00026
58,278.241,1.4801,1.32543,1.44888,0.57214,0.4,0.44403,0.12477,2.62623,2.4189,2.51785,0.000242321,0.000242321,0.000242321
59,280.425,1.52441,1.40787,1.51022,0.41381,0.3375,0.35362,0.11402,2.66099,2.45123,2.58625,0.000224643,0.000224643,0.000224643
60,282.907,1.5341,1.3114,1.47251,0.44428,0.43893,0.46685,0.12622,2.68659,2.47574,2.62143,0.000206964,0.000206964,0.000206964
61,322.062,1.28487,1.17277,1.54449,0.43515,0.43375,0.44004,0.12507,2.60083,2.57984,2.51801,0.000189286,0.000189286,0.000189286
62,324.992,1.26965,1.17207,1.53532,0.3319,0.38715,0.35377,0.11321,2.57815,2.70757,2.5909,0.000171607,0.000171607,0.000171607
63,327.757,1.21161,1.08152,1.45137,0.30174,0.3491,0.3619,0.11463,2.5589,2.60367,2.55974,0.000153929,0.000153929,0.000153929
64,330.879,1.2021,0.99379,1.46119,0.48654,0.39561,0.45305,0.12793,2.50941,2.53304,2.48579,0.00013625,0.00013625,0.00013625
65,334.814,1.30041,1.16526,1.5519,0.47883,0.38731,0.44427,0.12062,2.53787,2.57789,2.52705,0.000118571,0.000118571,0.000118571
66,339.274,1.19916,1.04501,1.46605,0.35843,0.35,0.39484,0.11162,2.56305,2.61035,2.57964,0.000100893,0.000100893,0.000100893
67,343.048,1.27886,1.03626,1.50557,0.31617,0.4,0.38999,0.11341,2.65138,2.58738,2.60976,8.32143e-05,8.32143e-05,8.32143e-05
68,346.907,1.18544,1.0067,1.46008,0.37206,0.45,0.45824,0.13392,2.67796,2.58179,2.64252,6.55357e-05,6.55357e-05,6.55357e-05
69,350.452,1.22338,1.04545,1.48741,0.37545,0.45,0.46112,0.12732,2.67643,2.5824,2.65567,4.78571e-05,4.78571e-05,4.78571e-05
70,354.576,1.17066,1.01335,1.44977,0.36521,0.45,0.431,0.12441,2.67633,2.62263,2.67169,3.01786e-05,3.01786e-05,3.01786e-05
